,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,5309.56,5840.77,8411.08,6295.66,8927.32,7391.72
CVG,5449.66,0,5006.29,8391.72,5680.06,8402.76,7017.8
DTW,5958.52,4973.56,0,8539.56,5629.84,8412.72,7036.04
LAX,8875.06,8214.28,8697.4,0,7661.32,6397.48,5602.68
MSP,6691.12,5714.44,5765.74,7935.88,0,7305.5,6415.88
SEA,9772,8444.44,8803.54,6508.52,7236.88,0,5798.76
SLC,8261.26,7276.84,7549.99,5774.6,6541.9,5934.34,0
AL,4953.811429,5413.96,5955.537143,8138.028571,6240.348571,8809.46,7266.428571
AR-LA,5649.244,5717.128,6240.808,7435.336,5957.404,8288.884,6729
AR-OK,6168.4,5890,6313.825,7014.52,5732.305,7851.225,6346.34
CT-RI-MA,6690.271429,5999.8,5918.414286,9816.062857,6804.802857,9616.694286,8137.171429
DE-NJ-PA,6150.184,5533,5563.708,9351.624,6423.64,9226.452,7779.624
GA,4914.224,5580.973333,6107.136667,8666.084444,6597.16,9235.526667,7675.284444
IA-IL,6231.76,5395.66,5460.5875,7698.28,4940.125,7556.575,6308.34
ID,8589.544,7555.72,7853.404,6026.632,6658.54,5626.244,4903.176
ID-MT,9032.14,7788.68,8067.88,6667.506667,6585.64,5258.72,5424.84
IL,5718.28,5094.52,5403.4,7855.506667,5342.02,7965.626667,6557.24
IL-IN-MI,5982.94,5021.16,4887.95,8252.68,5354.17,8130.243333,6787.52
IN,5562.124,4810.6,5139.514,8144.968,5528.104,8213.188,6820.808
KS-MO,6275.32,5659,6036.58,7256.168,5354.44,7563.796,6115.224
KY-OH,5475.4,4732.12,5062.235714,8360.04,5750.414286,8485.522857,7034.737143
LA,5562.916,5948.968,6538,7759.528,6411.004,8709.196,7066.744
MD-VA-PA,5886.844,5426.824,5492.338,9262.568,6360.784,9161.712,7720.344
MI,6232.2,5208.76,4826.563667,8622.28,5551.54,8265.164444,7106.466667
MN,7037.337143,5950.6,6022.985714,7988.428571,4858.465429,7217.52,6485.8
MO-AR,5716.96,5302.42,5709.01,7639.76,5465.815,7995.645,6539.76
MS,5218.848571,5570.92,6125.727143,7909.982857,6167.448571,8690.414286,7110.302857
MT,8477.08,7344.88,7582.93,6567.186667,6157.42,5657.12,5224.453333
NC,5283.934,5419.264,5793.556,9000.152,6527.158,9319.412,7780.688
NCA,9348.676,8469.976,8874.178,5132.2,7735.516,5880.556,5655.272
ND,7511.335,6335.62,6442.3825,7577.28,5147.485,6704.995,6126.7
NFL,5205.4,5847.770909,6401.748182,8672.04,6780.187273,9394.987273,7800.185455
NH-VT-ME,6904.96,6144.1,5967.04,9922.92,6903.16,9717.48,8229.62
NM-CO,7446.49,6729.58,7106.90125,6174.78,6268.7275,6714.125,5265.81
NNY,6392.14,5494.36,5335.428571,9242.554286,6276.914286,9076.008571,7642.302857
NV-AZ-TX,8026.8775,7569.79,8065.82125,5390.26,7117.2025,6865.3925,5526.68
NV-UT,8610.532,7648.456,7976.746,5456.392,6961.804,6046.224,4942.1792
OH,5959.51,4974.4,4852.1125,8717.76,5793.865,8580.795,7189.18
OR,9646.27,8453.26,8830.075,6014.4,7472.59,5012.21,5649.8
PA,6038.116,5226.904,5187.094,9010.184,6090.568,8884.824,7467.112
SC,5046.235,5453.62,5896.585,8843.6,6562.15,9303.725,7737.52
SCA,8807.344,8132.128,8655.676,139.656,7625.032,6490.44,5568.024
SD-NE,6851.17,6004.24,6110.39,7252.12,5136.01,7016.936667,5896.04
SFL,5685.676,6283.12,6894.301,9231.768,7234.126,9888.792,8273.016
SNY,6331.156,5679.496,5668.018,9501.928,6515.98,9320.74,7866.264
TN,5027.92,5072.96,5583.045,8207.213333,6001.09,8649.823333,7138.64
TX,6214.16,6296.466667,6898.103333,7121.977778,6362.08,8178.66,6585.782222
VA,5676.964,5507.128,5755.858,9277,6593.416,9400.088,7885.112
WA,9562.12,8275.88,8619.93,6560.146667,7074.88,4786.616,5717.186667
WI,6339.868,5343.832,5362.042,8100.616,4921.9,7675.348,6637.192
WI-MI,6550.144,5533.336,5409.256,8389.608,5027.524,7755.36,6883.128
WV-VA,5544.304,5075.704,5356.552,8857.768,6186.472,8983.428,7489.608
WY,7925.848,6979.144,7201.924,6381.448,6035.488,6160.1,5098.344
