,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,9364.56,9895.77,12466.08,10350.66,12982.32,11446.72
CVG,9504.66,0,9061.29,12446.72,9735.06,12457.76,11072.8
DTW,10013.52,9028.56,0,12594.56,9684.84,12467.72,11091.04
LAX,12930.06,12269.28,12752.4,0,11716.32,10452.48,9657.68
MSP,10746.12,9769.44,9820.74,11990.88,0,11360.5,10470.88
SEA,13827,12499.44,12858.54,10563.52,11291.88,0,9853.76
SLC,12316.26,11331.84,11604.99,9829.6,10596.9,9989.34,0
AL,9008.811429,9468.96,10010.53714,12193.02857,10295.34857,12864.46,11321.42857
AR-LA,9704.244,9772.128,10295.808,11490.336,10012.404,12343.884,10784
AR-OK,10223.4,9945,10368.825,11069.52,9787.305,11906.225,10401.34
CT-RI-MA,10745.27143,10054.8,9973.414286,13871.06286,10859.80286,13671.69429,12192.17143
DE-NJ-PA,10205.184,9588,9618.708,13406.624,10478.64,13281.452,11834.624
GA,8969.224,9635.973333,10162.13667,12721.08444,10652.16,13290.52667,11730.28444
IA-IL,10286.76,9450.66,9515.5875,11753.28,8995.125,11611.575,10363.34
ID,12644.544,11610.72,11908.404,10081.632,10713.54,9681.244,8958.176
ID-MT,13087.14,11843.68,12122.88,10722.50667,10640.64,9313.72,9479.84
IL,9773.28,9149.52,9458.4,11910.50667,9397.02,12020.62667,10612.24
IL-IN-MI,10037.94,9076.16,8942.95,12307.68,9409.17,12185.24333,10842.52
IN,9617.124,8865.6,9194.514,12199.968,9583.104,12268.188,10875.808
KS-MO,10330.32,9714,10091.58,11311.168,9409.44,11618.796,10170.224
KY-OH,9530.4,8787.12,9117.235714,12415.04,9805.414286,12540.52286,11089.73714
LA,9617.916,10003.968,10593,11814.528,10466.004,12764.196,11121.744
MD-VA-PA,9941.844,9481.824,9547.338,13317.568,10415.784,13216.712,11775.344
MI,10287.2,9263.76,8881.563667,12677.28,9606.54,12320.16444,11161.46667
MN,11092.33714,10005.6,10077.98571,12043.42857,8913.465429,11272.52,10540.8
MO-AR,9771.96,9357.42,9764.01,11694.76,9520.815,12050.645,10594.76
MS,9273.848571,9625.92,10180.72714,11964.98286,10222.44857,12745.41429,11165.30286
MT,12532.08,11399.88,11637.93,10622.18667,10212.42,9712.12,9279.453333
NC,9338.934,9474.264,9848.556,13055.152,10582.158,13374.412,11835.688
NCA,13403.676,12524.976,12929.178,9187.2,11790.516,9935.556,9710.272
ND,11566.335,10390.62,10497.3825,11632.28,9202.485,10759.995,10181.7
NFL,9260.4,9902.770909,10456.74818,12727.04,10835.18727,13449.98727,11855.18545
NH-VT-ME,10959.96,10199.1,10022.04,13977.92,10958.16,13772.48,12284.62
NM-CO,11501.49,10784.58,11161.90125,10229.78,10323.7275,10769.125,9320.81
NNY,10447.14,9549.36,9390.428571,13297.55429,10331.91429,13131.00857,11697.30286
NV-AZ-TX,12081.8775,11624.79,12120.82125,9445.26,11172.2025,10920.3925,9581.68
NV-UT,12665.532,11703.456,12031.746,9511.392,11016.804,10101.224,8997.1792
OH,10014.51,9029.4,8907.1125,12772.76,9848.865,12635.795,11244.18
OR,13701.27,12508.26,12885.075,10069.4,11527.59,9067.21,9704.8
PA,10093.116,9281.904,9242.094,13065.184,10145.568,12939.824,11522.112
SC,9101.235,9508.62,9951.585,12898.6,10617.15,13358.725,11792.52
SCA,12862.344,12187.128,12710.676,139.656,11680.032,10545.44,9623.024
SD-NE,10906.17,10059.24,10165.39,11307.12,9191.01,11071.93667,9951.04
SFL,9740.676,10338.12,10949.301,13286.768,11289.126,13943.792,12328.016
SNY,10386.156,9734.496,9723.018,13556.928,10570.98,13375.74,11921.264
TN,9082.92,9127.96,9638.045,12262.21333,10056.09,12704.82333,11193.64
TX,10269.16,10351.46667,10953.10333,11176.97778,10417.08,12233.66,10640.78222
VA,9731.964,9562.128,9810.858,13332,10648.416,13455.088,11940.112
WA,13617.12,12330.88,12674.93,10615.14667,11129.88,8841.616,9772.186667
WI,10394.868,9398.832,9417.042,12155.616,8976.9,11730.348,10692.192
WI-MI,10605.144,9588.336,9464.256,12444.608,9082.524,11810.36,10938.128
WV-VA,9599.304,9130.704,9411.552,12912.768,10241.472,13038.428,11544.608
WY,11980.848,11034.144,11256.924,10436.448,10090.488,10215.1,9153.344
