,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,9627.56,10158.77,12729.08,10613.66,13245.32,11709.72
CVG,9767.66,0,9324.29,12709.72,9998.06,12720.76,11335.8
DTW,10276.52,9291.56,0,12857.56,9947.84,12730.72,11354.04
LAX,13193.06,12532.28,13015.4,0,11979.32,10715.48,9920.68
MSP,11009.12,10032.44,10083.74,12253.88,0,11623.5,10733.88
SEA,14090,12762.44,13121.54,10826.52,11554.88,0,10116.76
SLC,12579.26,11594.84,11867.99,10092.6,10859.9,10252.34,0
AL,9271.811429,9731.96,10273.53714,12456.02857,10558.34857,13127.46,11584.42857
AR-LA,9967.244,10035.128,10558.808,11753.336,10275.404,12606.884,11047
AR-OK,10486.4,10208,10631.825,11332.52,10050.305,12169.225,10664.34
CT-RI-MA,11008.27143,10317.8,10236.41429,14134.06286,11122.80286,13934.69429,12455.17143
DE-NJ-PA,10468.184,9851,9881.708,13669.624,10741.64,13544.452,12097.624
GA,9232.224,9898.973333,10425.13667,12984.08444,10915.16,13553.52667,11993.28444
IA-IL,10549.76,9713.66,9778.5875,12016.28,9258.125,11874.575,10626.34
ID,12907.544,11873.72,12171.404,10344.632,10976.54,9944.244,9221.176
ID-MT,13350.14,12106.68,12385.88,10985.50667,10903.64,9576.72,9742.84
IL,10036.28,9412.52,9721.4,12173.50667,9660.02,12283.62667,10875.24
IL-IN-MI,10300.94,9339.16,9205.95,12570.68,9672.17,12448.24333,11105.52
IN,9880.124,9128.6,9457.514,12462.968,9846.104,12531.188,11138.808
KS-MO,10593.32,9977,10354.58,11574.168,9672.44,11881.796,10433.224
KY-OH,9793.4,9050.12,9380.235714,12678.04,10068.41429,12803.52286,11352.73714
LA,9880.916,10266.968,10856,12077.528,10729.004,13027.196,11384.744
MD-VA-PA,10204.844,9744.824,9810.338,13580.568,10678.784,13479.712,12038.344
MI,10550.2,9526.76,9144.563667,12940.28,9869.54,12583.16444,11424.46667
MN,11355.33714,10268.6,10340.98571,12306.42857,9176.465429,11535.52,10803.8
MO-AR,10034.96,9620.42,10027.01,11957.76,9783.815,12313.645,10857.76
MS,9536.848571,9888.92,10443.72714,12227.98286,10485.44857,13008.41429,11428.30286
MT,12795.08,11662.88,11900.93,10885.18667,10475.42,9975.12,9542.453333
NC,9601.934,9737.264,10111.556,13318.152,10845.158,13637.412,12098.688
NCA,13666.676,12787.976,13192.178,9450.2,12053.516,10198.556,9973.272
ND,11829.335,10653.62,10760.3825,11895.28,9465.485,11022.995,10444.7
NFL,9523.4,10165.77091,10719.74818,12990.04,11098.18727,13712.98727,12118.18545
NH-VT-ME,11222.96,10462.1,10285.04,14240.92,11221.16,14035.48,12547.62
NM-CO,11764.49,11047.58,11424.90125,10492.78,10586.7275,11032.125,9583.81
NNY,10710.14,9812.36,9653.428571,13560.55429,10594.91429,13394.00857,11960.30286
NV-AZ-TX,12344.8775,11887.79,12383.82125,9708.26,11435.2025,11183.3925,9844.68
NV-UT,12928.532,11966.456,12294.746,9774.392,11279.804,10364.224,9260.1792
OH,10277.51,9292.4,9170.1125,13035.76,10111.865,12898.795,11507.18
OR,13964.27,12771.26,13148.075,10332.4,11790.59,9330.21,9967.8
PA,10356.116,9544.904,9505.094,13328.184,10408.568,13202.824,11785.112
SC,9364.235,9771.62,10214.585,13161.6,10880.15,13621.725,12055.52
SCA,13125.344,12450.128,12973.676,139.656,11943.032,10808.44,9886.024
SD-NE,11169.17,10322.24,10428.39,11570.12,9454.01,11334.93667,10214.04
SFL,10003.676,10601.12,11212.301,13549.768,11552.126,14206.792,12591.016
SNY,10649.156,9997.496,9986.018,13819.928,10833.98,13638.74,12184.264
TN,9345.92,9390.96,9901.045,12525.21333,10319.09,12967.82333,11456.64
TX,10532.16,10614.46667,11216.10333,11439.97778,10680.08,12496.66,10903.78222
VA,9994.964,9825.128,10073.858,13595,10911.416,13718.088,12203.112
WA,13880.12,12593.88,12937.93,10878.14667,11392.88,9104.616,10035.18667
WI,10657.868,9661.832,9680.042,12418.616,9239.9,11993.348,10955.192
WI-MI,10868.144,9851.336,9727.256,12707.608,9345.524,12073.36,11201.128
WV-VA,9862.304,9393.704,9674.552,13175.768,10504.472,13301.428,11807.608
WY,12243.848,11297.144,11519.924,10699.448,10353.488,10478.1,9416.344
