,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,6135.06,6666.27,9236.58,7121.16,9752.82,8217.22
CVG,6275.16,0,5831.79,9217.22,6505.56,9228.26,7843.3
DTW,6784.02,5799.06,0,9365.06,6455.34,9238.22,7861.54
LAX,9700.56,9039.78,9522.9,0,8486.82,7222.98,6428.18
MSP,7516.62,6539.94,6591.24,8761.38,0,8131,7241.38
SEA,10597.5,9269.94,9629.04,7334.02,8062.38,0,6624.26
SLC,9086.76,8102.34,8375.49,6600.1,7367.4,6759.84,0
AL,5779.311429,6239.46,6781.037143,8963.528571,7065.848571,9634.96,8091.928571
AR-LA,6474.744,6542.628,7066.308,8260.836,6782.904,9114.384,7554.5
AR-OK,6993.9,6715.5,7139.325,7840.02,6557.805,8676.725,7171.84
CT-RI-MA,7515.771429,6825.3,6743.914286,10641.56286,7630.302857,10442.19429,8962.671429
DE-NJ-PA,6975.684,6358.5,6389.208,10177.124,7249.14,10051.952,8605.124
GA,5739.724,6406.473333,6932.636667,9491.584444,7422.66,10061.02667,8500.784444
IA-IL,7057.26,6221.16,6286.0875,8523.78,5765.625,8382.075,7133.84
ID,9415.044,8381.22,8678.904,6852.132,7484.04,6451.744,5728.676
ID-MT,9857.64,8614.18,8893.38,7493.006667,7411.14,6084.22,6250.34
IL,6543.78,5920.02,6228.9,8681.006667,6167.52,8791.126667,7382.74
IL-IN-MI,6808.44,5846.66,5713.45,9078.18,6179.67,8955.743333,7613.02
IN,6387.624,5636.1,5965.014,8970.468,6353.604,9038.688,7646.308
KS-MO,7100.82,6484.5,6862.08,8081.668,6179.94,8389.296,6940.724
KY-OH,6300.9,5557.62,5887.735714,9185.54,6575.914286,9311.022857,7860.237143
LA,6388.416,6774.468,7363.5,8585.028,7236.504,9534.696,7892.244
MD-VA-PA,6712.344,6252.324,6317.838,10088.068,7186.284,9987.212,8545.844
MI,7057.7,6034.26,5652.063667,9447.78,6377.04,9090.664444,7931.966667
MN,7862.837143,6776.1,6848.485714,8813.928571,5683.965429,8043.02,7311.3
MO-AR,6542.46,6127.92,6534.51,8465.26,6291.315,8821.145,7365.26
MS,6044.348571,6396.42,6951.227143,8735.482857,6992.948571,9515.914286,7935.802857
MT,9302.58,8170.38,8408.43,7392.686667,6982.92,6482.62,6049.953333
NC,6109.434,6244.764,6619.056,9825.652,7352.658,10144.912,8606.188
NCA,10174.176,9295.476,9699.678,5957.7,8561.016,6706.056,6480.772
ND,8336.835,7161.12,7267.8825,8402.78,5972.985,7530.495,6952.2
NFL,6030.9,6673.270909,7227.248182,9497.54,7605.687273,10220.48727,8625.685455
NH-VT-ME,7730.46,6969.6,6792.54,10748.42,7728.66,10542.98,9055.12
NM-CO,8271.99,7555.08,7932.40125,7000.28,7094.2275,7539.625,6091.31
NNY,7217.64,6319.86,6160.928571,10068.05429,7102.414286,9901.508571,8467.802857
NV-AZ-TX,8852.3775,8395.29,8891.32125,6215.76,7942.7025,7690.8925,6352.18
NV-UT,9436.032,8473.956,8802.246,6281.892,7787.304,6871.724,5767.6792
OH,6785.01,5799.9,5677.6125,9543.26,6619.365,9406.295,8014.68
OR,10471.77,9278.76,9655.575,6839.9,8298.09,5837.71,6475.3
PA,6863.616,6052.404,6012.594,9835.684,6916.068,9710.324,8292.612
SC,5871.735,6279.12,6722.085,9669.1,7387.65,10129.225,8563.02
SCA,9632.844,8957.628,9481.176,139.656,8450.532,7315.94,6393.524
SD-NE,7676.67,6829.74,6935.89,8077.62,5961.51,7842.436667,6721.54
SFL,6511.176,7108.62,7719.801,10057.268,8059.626,10714.292,9098.516
SNY,7156.656,6504.996,6493.518,10327.428,7341.48,10146.24,8691.764
TN,5853.42,5898.46,6408.545,9032.713333,6826.59,9475.323333,7964.14
TX,7039.66,7121.966667,7723.603333,7947.477778,7187.58,9004.16,7411.282222
VA,6502.464,6332.628,6581.358,10102.5,7418.916,10225.588,8710.612
WA,10387.62,9101.38,9445.43,7385.646667,7900.38,5612.116,6542.686667
WI,7165.368,6169.332,6187.542,8926.116,5747.4,8500.848,7462.692
WI-MI,7375.644,6358.836,6234.756,9215.108,5853.024,8580.86,7708.628
WV-VA,6369.804,5901.204,6182.052,9683.268,7011.972,9808.928,8315.108
WY,8751.348,7804.644,8027.424,7206.948,6860.988,6985.6,5923.844
