,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,8201.56,8732.77,11303.08,9187.66,11819.32,10283.72
CVG,8341.66,0,7898.29,11283.72,8572.06,11294.76,9909.8
DTW,8850.52,7865.56,0,11431.56,8521.84,11304.72,9928.04
LAX,11767.06,11106.28,11589.4,0,10553.32,9289.48,8494.68
MSP,9583.12,8606.44,8657.74,10827.88,0,10197.5,9307.88
SEA,12664,11336.44,11695.54,9400.52,10128.88,0,8690.76
SLC,11153.26,10168.84,10441.99,8666.6,9433.9,8826.34,0
AL,7845.811429,8305.96,8847.537143,11030.02857,9132.348571,11701.46,10158.42857
AR-LA,8541.244,8609.128,9132.808,10327.336,8849.404,11180.884,9621
AR-OK,9060.4,8782,9205.825,9906.52,8624.305,10743.225,9238.34
CT-RI-MA,9582.271429,8891.8,8810.414286,12708.06286,9696.802857,12508.69429,11029.17143
DE-NJ-PA,9042.184,8425,8455.708,12243.624,9315.64,12118.452,10671.624
GA,7806.224,8472.973333,8999.136667,11558.08444,9489.16,12127.52667,10567.28444
IA-IL,9123.76,8287.66,8352.5875,10590.28,7832.125,10448.575,9200.34
ID,11481.544,10447.72,10745.404,8918.632,9550.54,8518.244,7795.176
ID-MT,11924.14,10680.68,10959.88,9559.506667,9477.64,8150.72,8316.84
IL,8610.28,7986.52,8295.4,10747.50667,8234.02,10857.62667,9449.24
IL-IN-MI,8874.94,7913.16,7779.95,11144.68,8246.17,11022.24333,9679.52
IN,8454.124,7702.6,8031.514,11036.968,8420.104,11105.188,9712.808
KS-MO,9167.32,8551,8928.58,10148.168,8246.44,10455.796,9007.224
KY-OH,8367.4,7624.12,7954.235714,11252.04,8642.414286,11377.52286,9926.737143
LA,8454.916,8840.968,9430,10651.528,9303.004,11601.196,9958.744
MD-VA-PA,8778.844,8318.824,8384.338,12154.568,9252.784,12053.712,10612.344
MI,9124.2,8100.76,7718.563667,11514.28,8443.54,11157.16444,9998.466667
MN,9929.337143,8842.6,8914.985714,10880.42857,7750.465429,10109.52,9377.8
MO-AR,8608.96,8194.42,8601.01,10531.76,8357.815,10887.645,9431.76
MS,8110.848571,8462.92,9017.727143,10801.98286,9059.448571,11582.41429,10002.30286
MT,11369.08,10236.88,10474.93,9459.186667,9049.42,8549.12,8116.453333
NC,8175.934,8311.264,8685.556,11892.152,9419.158,12211.412,10672.688
NCA,12240.676,11361.976,11766.178,8024.2,10627.516,8772.556,8547.272
ND,10403.335,9227.62,9334.3825,10469.28,8039.485,9596.995,9018.7
NFL,8097.4,8739.770909,9293.748182,11564.04,9672.187273,12286.98727,10692.18545
NH-VT-ME,9796.96,9036.1,8859.04,12814.92,9795.16,12609.48,11121.62
NM-CO,10338.49,9621.58,9998.90125,9066.78,9160.7275,9606.125,8157.81
NNY,9284.14,8386.36,8227.428571,12134.55429,9168.914286,11968.00857,10534.30286
NV-AZ-TX,10918.8775,10461.79,10957.82125,8282.26,10009.2025,9757.3925,8418.68
NV-UT,11502.532,10540.456,10868.746,8348.392,9853.804,8938.224,7834.1792
OH,8851.51,7866.4,7744.1125,11609.76,8685.865,11472.795,10081.18
OR,12538.27,11345.26,11722.075,8906.4,10364.59,7904.21,8541.8
PA,8930.116,8118.904,8079.094,11902.184,8982.568,11776.824,10359.112
SC,7938.235,8345.62,8788.585,11735.6,9454.15,12195.725,10629.52
SCA,11699.344,11024.128,11547.676,139.656,10517.032,9382.44,8460.024
SD-NE,9743.17,8896.24,9002.39,10144.12,8028.01,9908.936667,8788.04
SFL,8577.676,9175.12,9786.301,12123.768,10126.126,12780.792,11165.016
SNY,9223.156,8571.496,8560.018,12393.928,9407.98,12212.74,10758.264
TN,7919.92,7964.96,8475.045,11099.21333,8893.09,11541.82333,10030.64
TX,9106.16,9188.466667,9790.103333,10013.97778,9254.08,11070.66,9477.782222
VA,8568.964,8399.128,8647.858,12169,9485.416,12292.088,10777.112
WA,12454.12,11167.88,11511.93,9452.146667,9966.88,7678.616,8609.186667
WI,9231.868,8235.832,8254.042,10992.616,7813.9,10567.348,9529.192
WI-MI,9442.144,8425.336,8301.256,11281.608,7919.524,10647.36,9775.128
WV-VA,8436.304,7967.704,8248.552,11749.768,9078.472,11875.428,10381.608
WY,10817.848,9871.144,10093.924,9273.448,8927.488,9052.1,7990.344
