,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,9919.06,10450.27,13020.58,10905.16,13536.82,12001.22
CVG,10059.16,0,9615.79,13001.22,10289.56,13012.26,11627.3
DTW,10568.02,9583.06,0,13149.06,10239.34,13022.22,11645.54
LAX,13484.56,12823.78,13306.9,0,12270.82,11006.98,10212.18
MSP,11300.62,10323.94,10375.24,12545.38,0,11915,11025.38
SEA,14381.5,13053.94,13413.04,11118.02,11846.38,0,10408.26
SLC,12870.76,11886.34,12159.49,10384.1,11151.4,10543.84,0
AL,9563.311429,10023.46,10565.03714,12747.52857,10849.84857,13418.96,11875.92857
AR-LA,10258.744,10326.628,10850.308,12044.836,10566.904,12898.384,11338.5
AR-OK,10777.9,10499.5,10923.325,11624.02,10341.805,12460.725,10955.84
CT-RI-MA,11299.77143,10609.3,10527.91429,14425.56286,11414.30286,14226.19429,12746.67143
DE-NJ-PA,10759.684,10142.5,10173.208,13961.124,11033.14,13835.952,12389.124
GA,9523.724,10190.47333,10716.63667,13275.58444,11206.66,13845.02667,12284.78444
IA-IL,10841.26,10005.16,10070.0875,12307.78,9549.625,12166.075,10917.84
ID,13199.044,12165.22,12462.904,10636.132,11268.04,10235.744,9512.676
ID-MT,13641.64,12398.18,12677.38,11277.00667,11195.14,9868.22,10034.34
IL,10327.78,9704.02,10012.9,12465.00667,9951.52,12575.12667,11166.74
IL-IN-MI,10592.44,9630.66,9497.45,12862.18,9963.67,12739.74333,11397.02
IN,10171.624,9420.1,9749.014,12754.468,10137.604,12822.688,11430.308
KS-MO,10884.82,10268.5,10646.08,11865.668,9963.94,12173.296,10724.724
KY-OH,10084.9,9341.62,9671.735714,12969.54,10359.91429,13095.02286,11644.23714
LA,10172.416,10558.468,11147.5,12369.028,11020.504,13318.696,11676.244
MD-VA-PA,10496.344,10036.324,10101.838,13872.068,10970.284,13771.212,12329.844
MI,10841.7,9818.26,9436.063667,13231.78,10161.04,12874.66444,11715.96667
MN,11646.83714,10560.1,10632.48571,12597.92857,9467.965429,11827.02,11095.3
MO-AR,10326.46,9911.92,10318.51,12249.26,10075.315,12605.145,11149.26
MS,9828.348571,10180.42,10735.22714,12519.48286,10776.94857,13299.91429,11719.80286
MT,13086.58,11954.38,12192.43,11176.68667,10766.92,10266.62,9833.953333
NC,9893.434,10028.764,10403.056,13609.652,11136.658,13928.912,12390.188
NCA,13958.176,13079.476,13483.678,9741.7,12345.016,10490.056,10264.772
ND,12120.835,10945.12,11051.8825,12186.78,9756.985,11314.495,10736.2
NFL,9814.9,10457.27091,11011.24818,13281.54,11389.68727,14004.48727,12409.68545
NH-VT-ME,11514.46,10753.6,10576.54,14532.42,11512.66,14326.98,12839.12
NM-CO,12055.99,11339.08,11716.40125,10784.28,10878.2275,11323.625,9875.31
NNY,11001.64,10103.86,9944.928571,13852.05429,10886.41429,13685.50857,12251.80286
NV-AZ-TX,12636.3775,12179.29,12675.32125,9999.76,11726.7025,11474.8925,10136.18
NV-UT,13220.032,12257.956,12586.246,10065.892,11571.304,10655.724,9551.6792
OH,10569.01,9583.9,9461.6125,13327.26,10403.365,13190.295,11798.68
OR,14255.77,13062.76,13439.575,10623.9,12082.09,9621.71,10259.3
PA,10647.616,9836.404,9796.594,13619.684,10700.068,13494.324,12076.612
SC,9655.735,10063.12,10506.085,13453.1,11171.65,13913.225,12347.02
SCA,13416.844,12741.628,13265.176,139.656,12234.532,11099.94,10177.524
SD-NE,11460.67,10613.74,10719.89,11861.62,9745.51,11626.43667,10505.54
SFL,10295.176,10892.62,11503.801,13841.268,11843.626,14498.292,12882.516
SNY,10940.656,10288.996,10277.518,14111.428,11125.48,13930.24,12475.764
TN,9637.42,9682.46,10192.545,12816.71333,10610.59,13259.32333,11748.14
TX,10823.66,10905.96667,11507.60333,11731.47778,10971.58,12788.16,11195.28222
VA,10286.464,10116.628,10365.358,13886.5,11202.916,14009.588,12494.612
WA,14171.62,12885.38,13229.43,11169.64667,11684.38,9396.116,10326.68667
WI,10949.368,9953.332,9971.542,12710.116,9531.4,12284.848,11246.692
WI-MI,11159.644,10142.836,10018.756,12999.108,9637.024,12364.86,11492.628
WV-VA,10153.804,9685.204,9966.052,13467.268,10795.972,13592.928,12099.108
WY,12535.348,11588.644,11811.424,10990.948,10644.988,10769.6,9707.844
