,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,20889.56,21420.77,23991.08,21875.66,24507.32,22971.72
CVG,21029.66,0,20586.29,23971.72,21260.06,23982.76,22597.8
DTW,21538.52,20553.56,0,24119.56,21209.84,23992.72,22616.04
LAX,24455.06,23794.28,24277.4,0,23241.32,21977.48,21182.68
MSP,22271.12,21294.44,21345.74,23515.88,0,22885.5,21995.88
SEA,25352,24024.44,24383.54,22088.52,22816.88,0,21378.76
SLC,23841.26,22856.84,23129.99,21354.6,22121.9,21514.34,0
AL,20533.81143,20993.96,21535.53714,23718.02857,21820.34857,24389.46,22846.42857
AR-LA,21229.244,21297.128,21820.808,23015.336,21537.404,23868.884,22309
AR-OK,21748.4,21470,21893.825,22594.52,21312.305,23431.225,21926.34
CT-RI-MA,22270.27143,21579.8,21498.41429,25396.06286,22384.80286,25196.69429,23717.17143
DE-NJ-PA,21730.184,21113,21143.708,24931.624,22003.64,24806.452,23359.624
GA,20494.224,21160.97333,21687.13667,24246.08444,22177.16,24815.52667,23255.28444
IA-IL,21811.76,20975.66,21040.5875,23278.28,20520.125,23136.575,21888.34
ID,24169.544,23135.72,23433.404,21606.632,22238.54,21206.244,20483.176
ID-MT,24612.14,23368.68,23647.88,22247.50667,22165.64,20838.72,21004.84
IL,21298.28,20674.52,20983.4,23435.50667,20922.02,23545.62667,22137.24
IL-IN-MI,21562.94,20601.16,20467.95,23832.68,20934.17,23710.24333,22367.52
IN,21142.124,20390.6,20719.514,23724.968,21108.104,23793.188,22400.808
KS-MO,21855.32,21239,21616.58,22836.168,20934.44,23143.796,21695.224
KY-OH,21055.4,20312.12,20642.23571,23940.04,21330.41429,24065.52286,22614.73714
LA,21142.916,21528.968,22118,23339.528,21991.004,24289.196,22646.744
MD-VA-PA,21466.844,21006.824,21072.338,24842.568,21940.784,24741.712,23300.344
MI,21812.2,20788.76,20406.56367,24202.28,21131.54,23845.16444,22686.46667
MN,22617.33714,21530.6,21602.98571,23568.42857,20438.46543,22797.52,22065.8
MO-AR,21296.96,20882.42,21289.01,23219.76,21045.815,23575.645,22119.76
MS,20798.84857,21150.92,21705.72714,23489.98286,21747.44857,24270.41429,22690.30286
MT,24057.08,22924.88,23162.93,22147.18667,21737.42,21237.12,20804.45333
NC,20863.934,20999.264,21373.556,24580.152,22107.158,24899.412,23360.688
NCA,24928.676,24049.976,24454.178,20712.2,23315.516,21460.556,21235.272
ND,23091.335,21915.62,22022.3825,23157.28,20727.485,22284.995,21706.7
NFL,20785.4,21427.77091,21981.74818,24252.04,22360.18727,24974.98727,23380.18545
NH-VT-ME,22484.96,21724.1,21547.04,25502.92,22483.16,25297.48,23809.62
NM-CO,23026.49,22309.58,22686.90125,21754.78,21848.7275,22294.125,20845.81
NNY,21972.14,21074.36,20915.42857,24822.55429,21856.91429,24656.00857,23222.30286
NV-AZ-TX,23606.8775,23149.79,23645.82125,20970.26,22697.2025,22445.3925,21106.68
NV-UT,24190.532,23228.456,23556.746,21036.392,22541.804,21626.224,20522.1792
OH,21539.51,20554.4,20432.1125,24297.76,21373.865,24160.795,22769.18
OR,25226.27,24033.26,24410.075,21594.4,23052.59,20592.21,21229.8
PA,21618.116,20806.904,20767.094,24590.184,21670.568,24464.824,23047.112
SC,20626.235,21033.62,21476.585,24423.6,22142.15,24883.725,23317.52
SCA,24387.344,23712.128,24235.676,139.656,23205.032,22070.44,21148.024
SD-NE,22431.17,21584.24,21690.39,22832.12,20716.01,22596.93667,21476.04
SFL,21265.676,21863.12,22474.301,24811.768,22814.126,25468.792,23853.016
SNY,21911.156,21259.496,21248.018,25081.928,22095.98,24900.74,23446.264
TN,20607.92,20652.96,21163.045,23787.21333,21581.09,24229.82333,22718.64
TX,21794.16,21876.46667,22478.10333,22701.97778,21942.08,23758.66,22165.78222
VA,21256.964,21087.128,21335.858,24857,22173.416,24980.088,23465.112
WA,25142.12,23855.88,24199.93,22140.14667,22654.88,20366.616,21297.18667
WI,21919.868,20923.832,20942.042,23680.616,20501.9,23255.348,22217.192
WI-MI,22130.144,21113.336,20989.256,23969.608,20607.524,23335.36,22463.128
WV-VA,21124.304,20655.704,20936.552,24437.768,21766.472,24563.428,23069.608
WY,23505.848,22559.144,22781.924,21961.448,21615.488,21740.1,20678.344
