,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,9856.56,10387.77,12958.08,10842.66,13474.32,11938.72
CVG,9996.66,0,9553.29,12938.72,10227.06,12949.76,11564.8
DTW,10505.52,9520.56,0,13086.56,10176.84,12959.72,11583.04
LAX,13422.06,12761.28,13244.4,0,12208.32,10944.48,10149.68
MSP,11238.12,10261.44,10312.74,12482.88,0,11852.5,10962.88
SEA,14319,12991.44,13350.54,11055.52,11783.88,0,10345.76
SLC,12808.26,11823.84,12096.99,10321.6,11088.9,10481.34,0
AL,9500.811429,9960.96,10502.53714,12685.02857,10787.34857,13356.46,11813.42857
AR-LA,10196.244,10264.128,10787.808,11982.336,10504.404,12835.884,11276
AR-OK,10715.4,10437,10860.825,11561.52,10279.305,12398.225,10893.34
CT-RI-MA,11237.27143,10546.8,10465.41429,14363.06286,11351.80286,14163.69429,12684.17143
DE-NJ-PA,10697.184,10080,10110.708,13898.624,10970.64,13773.452,12326.624
GA,9461.224,10127.97333,10654.13667,13213.08444,11144.16,13782.52667,12222.28444
IA-IL,10778.76,9942.66,10007.5875,12245.28,9487.125,12103.575,10855.34
ID,13136.544,12102.72,12400.404,10573.632,11205.54,10173.244,9450.176
ID-MT,13579.14,12335.68,12614.88,11214.50667,11132.64,9805.72,9971.84
IL,10265.28,9641.52,9950.4,12402.50667,9889.02,12512.62667,11104.24
IL-IN-MI,10529.94,9568.16,9434.95,12799.68,9901.17,12677.24333,11334.52
IN,10109.124,9357.6,9686.514,12691.968,10075.104,12760.188,11367.808
KS-MO,10822.32,10206,10583.58,11803.168,9901.44,12110.796,10662.224
KY-OH,10022.4,9279.12,9609.235714,12907.04,10297.41429,13032.52286,11581.73714
LA,10109.916,10495.968,11085,12306.528,10958.004,13256.196,11613.744
MD-VA-PA,10433.844,9973.824,10039.338,13809.568,10907.784,13708.712,12267.344
MI,10779.2,9755.76,9373.563667,13169.28,10098.54,12812.16444,11653.46667
MN,11584.33714,10497.6,10569.98571,12535.42857,9405.465429,11764.52,11032.8
MO-AR,10263.96,9849.42,10256.01,12186.76,10012.815,12542.645,11086.76
MS,9765.848571,10117.92,10672.72714,12456.98286,10714.44857,13237.41429,11657.30286
MT,13024.08,11891.88,12129.93,11114.18667,10704.42,10204.12,9771.453333
NC,9830.934,9966.264,10340.556,13547.152,11074.158,13866.412,12327.688
NCA,13895.676,13016.976,13421.178,9679.2,12282.516,10427.556,10202.272
ND,12058.335,10882.62,10989.3825,12124.28,9694.485,11251.995,10673.7
NFL,9752.4,10394.77091,10948.74818,13219.04,11327.18727,13941.98727,12347.18545
NH-VT-ME,11451.96,10691.1,10514.04,14469.92,11450.16,14264.48,12776.62
NM-CO,11993.49,11276.58,11653.90125,10721.78,10815.7275,11261.125,9812.81
NNY,10939.14,10041.36,9882.428571,13789.55429,10823.91429,13623.00857,12189.30286
NV-AZ-TX,12573.8775,12116.79,12612.82125,9937.26,11664.2025,11412.3925,10073.68
NV-UT,13157.532,12195.456,12523.746,10003.392,11508.804,10593.224,9489.1792
OH,10506.51,9521.4,9399.1125,13264.76,10340.865,13127.795,11736.18
OR,14193.27,13000.26,13377.075,10561.4,12019.59,9559.21,10196.8
PA,10585.116,9773.904,9734.094,13557.184,10637.568,13431.824,12014.112
SC,9593.235,10000.62,10443.585,13390.6,11109.15,13850.725,12284.52
SCA,13354.344,12679.128,13202.676,139.656,12172.032,11037.44,10115.024
SD-NE,11398.17,10551.24,10657.39,11799.12,9683.01,11563.93667,10443.04
SFL,10232.676,10830.12,11441.301,13778.768,11781.126,14435.792,12820.016
SNY,10878.156,10226.496,10215.018,14048.928,11062.98,13867.74,12413.264
TN,9574.92,9619.96,10130.045,12754.21333,10548.09,13196.82333,11685.64
TX,10761.16,10843.46667,11445.10333,11668.97778,10909.08,12725.66,11132.78222
VA,10223.964,10054.128,10302.858,13824,11140.416,13947.088,12432.112
WA,14109.12,12822.88,13166.93,11107.14667,11621.88,9333.616,10264.18667
WI,10886.868,9890.832,9909.042,12647.616,9468.9,12222.348,11184.192
WI-MI,11097.144,10080.336,9956.256,12936.608,9574.524,12302.36,11430.128
WV-VA,10091.304,9622.704,9903.552,13404.768,10733.472,13530.428,12036.608
WY,12472.848,11526.144,11748.924,10928.448,10582.488,10707.1,9645.344
