ENGINE_SUBTYPE,ENGINE_SUBTYPE_STRIPPED,TOTAL_NUM_ENGINES,NUM_WORKING_ENGINES,NUM_BROKEN_ENGINES_ATL,NUM_BROKEN_ENGINES_MSP,MAX_NUM_REMOVALS_MONTHLY_TOTAL,MAX_NUM_REMOVALS_MONTHLY_ATL,MAX_NUM_REMOVALS_MONTHLY_CVG,MAX_NUM_REMOVALS_MONTHLY_DTW,MAX_NUM_REMOVALS_MONTHLY_LAX,MAX_NUM_REMOVALS_MONTHLY_MSP,MAX_NUM_REMOVALS_MONTHLY_SEA,MAX_NUM_REMOVALS_MONTHLY_SLC,MAX_NUM_REMOVALS_MONTHLY_NON_HUBS,EXPECTED_AOS_COST
BR700 - 715C1-30,BR700-715C1-30,2,2,0,0,9,7,1,2,2,1,1,1,2,4525
CF6 - 80C2B6,CF6-80C2B6,1,1,0,0,2,2,1,1,1,1,1,1,1,13121
CF6 - 80C2B6F,CF6-80C2B6F,2,2,0,0,5,5,1,1,1,1,2,1,1,8200
CF6 - 80C2B8F,CF6-80C2B8F,1,1,0,0,4,4,1,1,1,1,1,1,1,8580
CF6 - 80E1A4,CF6-80E1A4,2,2,0,0,1,1,1,1,1,1,1,1,1,22403
CFM56 - 5A,CFM56-5A,5,5,0,0,7,2,2,2,1,4,1,4,2,5053.5
CFM56 - 5B3/3,CFM56-5B3-3,1,1,0,0,1,1,1,1,1,1,1,1,1,8843
CFM56 - 7B26,CFM56-7B26,3,3,0,0,3,2,1,1,1,1,1,1,1,5350.5
CFM56 - 7B27E/B1F,CFM56-7B27E-B1F,1,1,0,0,2,1,1,1,1,1,1,1,1,7417
PW2000 - 2037,PW2000-2037,3,3,0,0,10,7,1,2,3,2,1,1,2,9134.5
PW2000 - 2040,PW2000-2040,1,1,0,0,4,3,1,1,1,3,1,1,1,9134.5
PW4000 - 4060,PW4000-4060,2,2,0,0,2,2,1,1,1,1,1,1,1,9081
PW4000 - 4168,PW4000-4168,1,1,0,0,5,4,1,1,1,2,1,1,1,17556
TRENT8 - 892-17,TRENT8-892-17,1,1,0,0,1,1,1,1,1,1,1,1,1,20105
V2500 - D5,V2500-D5,4,4,0,0,8,3,1,1,1,5,1,1,2,9072
