ENGINE_SUBTYPE,MAX_NUM_REMOVALS_MONTHLY_TOTAL,MAX_NUM_REMOVALS_MONTHLY_ATL,MAX_NUM_REMOVALS_MONTHLY_CVG,MAX_NUM_REMOVALS_MONTHLY_DTW,MAX_NUM_REMOVALS_MONTHLY_LAX,MAX_NUM_REMOVALS_MONTHLY_MSP,MAX_NUM_REMOVALS_MONTHLY_SEA,MAX_NUM_REMOVALS_MONTHLY_SLC,MAX_NUM_REMOVALS_MONTHLY_NON_HUBS,EXPECTED_AOS_COST,UPDATED
BR700-715C1-30,9,7,1,2,2,1,1,1,2,4525,FALSE
CF6-80C2B8F,4,4,1,1,1,1,1,1,1,8580,FALSE
CFM56-5A,7,2,2,2,1,4,1,4,2,5053.5,FALSE
CFM56-5B3-3,1,1,1,1,1,1,1,1,1,8843,FALSE
CFM56-7B26,3,2,1,1,1,1,1,1,1,5350.5,FALSE
CFM56-7B27E-B1F,2,1,1,1,1,1,1,1,1,7417,FALSE
PW2000-2037,10,7,1,2,3,2,1,1,2,9134.5,FALSE
PW2000-2040,4,3,1,1,1,3,1,1,1,9134.5,FALSE
TRENT8-892-17,1,1,1,1,1,1,1,1,1,20105,FALSE
V2500-D5,8,3,1,1,1,5,1,1,2,9072,FALSE
