AIRPORT CODE,NAME,ADDRESS,STATE,STATE REGION,HUB-SHORTEST DISTANCE,DISTANCE,HUB-SHORTEST TRAVEL TIME,TRAVEL TIME
ABE,Lehigh Valley International Airport,"Airport Rd, Allentown, PA 18109",PA,DE-NJ-PA,DTW,545,DTW,498
ABQ,Albuquerque International Sunport,"2200 Sunport Blvd, Albuquerque, NM 87106",NM,NM-CO,SLC,606,SLC,596
ABR,Aberdeen Regional Airport,"4740 6th Ave SE, Aberdeen, SD 57401",SD,SD-NE,MSP,279,MSP,298
ABY,Southwest Georgia Regional Airport,"3905 Newton Rd #100, Albany, GA 31701",GA,GA,ATL,185,ATL,174
ACK,Nantucket Memorial Airport,"14 Airport Rd, Nantucket, MA 02554",MA,CT-RI-MA,DTW,830,DTW,878
ADW,Andrews Air Force Base,"Knerr Dr, Joint Base Andrews, MD 20762",MD,MD-VA-PA,DTW,526,DTW,492
AEX,Alexandria International Airport,"1100 Frank Andrews Blvd, Alexandria, LA 71303",LA,LA,ATL,581,ATL,542
AGS,Augusta Regional Airport at Bush Field,"1501 Aviation Way, Augusta, GA 30906",GA,GA,ATL,160,ATL,146
AHN,Athens Ben Epps Airport,"1010 Ben Epps Dr, Athens, GA 30605",GA,GA,ATL,84.2,ATL,97
ALB,Albany International Airport,"Albany Shaker Rd, Colonie, NY",NY,NNY,DTW,566,DTW,522
ALO,Waterloo Regional Airport,"2790 Livingston Ln, Waterloo, IA 50703",IA,IA-IL,MSP,191,MSP,193
APN,Alpena County Regional Airport,"1617 Airport Rd, Alpena, MI 49707",MI,MI,DTW,251,DTW,234
ATL,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Pkwy, Atlanta, GA 30320",GA,R-ATL,ATL,1,ATL,1
ATW,Appleton International Airport,"W6390 Challenger Dr, Appleton, WI 54914",WI,WI,MSP,281,MSP,256
AUS,Austin-Bergstrom International Airport,"3600 Presidential Blvd, Austin, TX 78719",TX,TX,ATL,939,ATL,819
AVL,Asheville Regional Airport,"61 Terminal Dr #1, Fletcher, NC 28732",NC,NC,ATL,204,ATL,204
AVP,Wilkes-Barre/Scranton International Airport,"100 Terminal Rd, Avoca, PA 18641",PA,DE-NJ-PA,DTW,508,DTW,464
AZO,Kalamazoo/Battle Creek International Airport,"5235 Portage Rd, Portage, MI 49002",MI,IL-IN-MI,DTW,121,DTW,112
BDL,Bradley International Airport,"Schoephoester Rd, Windsor Locks, CT 06096",CT,CT-RI-MA,DTW,672,DTW,615
BED,Laurence G. Hanscom Field,"200 Hanscom Dr, Bedford, MA 01730",MA,CT-RI-MA,DTW,733,DTW,672
BFI,Boeing Field/King County International Airport,"7277 Perimeter Rd S, Seattle, WA 98108",WA,WA,SEA,7.2,SEA,17
BGM,Greater Binghamton Airport,"Airport Rd, Johnson City, NY 13790",NY,NNY,DTW,515,DTW,468
BGR,Bangor International Airport,"287 Godfrey Blvd, Bangor, ME 04401",ME,NH-VT-ME,DTW,877,DTW,864
BHM,Birmingham–Shuttlesworth International Airport,"5900 Messer Airport Hwy, Birmingham, AL 35212",AL,AL,ATL,151,ATL,141
BIF,Biggs Army Airfield,"Fort Bliss, El Paso, Texas",TX,NV-AZ-TX,LAX,823,LAX,733
BIL,Billings Logan International Airport,"1901 Terminal Cir, Billings, MT 59105",MT,MT,SLC,554,SLC,524
BIS,Bismarck Municipal Airport,"2301 University Dr, Bismarck, ND 58504",ND,ND,MSP,440,MSP,388
BJI,Bemidji Regional Airport,"3824 Moberg Dr NW, Bemidji, MN 56601",MN,MN,MSP,232,MSP,229
BKL,Cleveland Burke Lakefront Airport,"1501 N Marginal Rd, Cleveland, OH 44114",OH,OH,DTW,160,DTW,154
BLV,MidAmerica St. Louis Airport,"9656 Air Terminal Dr, Mascoutah, IL 62258",IL,IL,CVG,333,CVG,296
BMG,Monroe County Airport,"972 S Kirby Rd, Bloomington, IN 47403",IN,IN,CVG,161,CVG,160
BMI,Central Illinois Regional Airport,"3201 Cira Dr, Bloomington, IL 61704",IL,IL,CVG,284,CVG,266
BNA,Nashville International Airport,"1 Terminal Dr, Nashville, TN 37214",TN,TN,ATL,258,ATL,237
BOI,Boise Air Terminal/Gowen Field,"3201 W Airport Way #1000, Boise, ID 83705",ID,ID,SLC,340,SLC,294
BOS,Logan International Airport,"1 Harborside Dr, Boston, MA 02128",MA,CT-RI-MA,DTW,737,DTW,677
BQK,Brunswick Golden Isles Airport,"295 Aviation Pkwy, Brunswick, GA 31525",GA,GA,ATL,300,ATL,263
BRD,Brainerd Lakes Regional Airport,"16384 Airport Rd #5, Brainerd, MN 56401",MN,MN,MSP,141,MSP,144
BTM,Bert Mooney Airport,"101 Airport Rd, Butte, MT 59701",MT,MT,SLC,424,SLC,376
BTR,Baton Rouge Metropolitan Airport,"9430 Jackie Cochran Dr, Baton Rouge, LA 70811",LA,LA,ATL,525,ATL,451
BTV,Burlington International Airport,"1200 Airport Dr, South Burlington, VT 05403",VT,NH-VT-ME,DTW,679,DTW,641
BUF,Buffalo Niagara International Airport,"4200 Genesee St, Buffalo, NY 14225",NY,NNY,DTW,293,DTW,280
BUR,Bob Hope Airport,"2627 N Hollywood Way, Burbank, CA 91505",CA,SCA,LAX,29.1,LAX,48
